ID Number,Date,Activity,Start Time,End Time,Sleep Location,Break Location
0651,1/7/2010,C,14:30,16:12,,
0651,1/7/2010,W,16:12,20:30,,
0651,1/7/2010,B,20:30,21:00,,Off train
0651,1/7/2010,W,21:00,1:13,,
0651,1/8/2010,C,1:13,2:40,,
0651,1/8/2010,P,2:40,4:30,,
0651,1/8/2010,S,4:30,13:30,H,
0651,1/8/2010,P,13:30,14:40,,
0651,1/8/2010,C,14:40,16:02,,
0651,1/8/2010,W,16:02,20:32,,
0651,1/8/2010,B,20:32,21:30,,Off train
0651,1/8/2010,W,21:30,1:13,,
0651,1/9/2010,C,1:13,2:40,,
0651,1/9/2010,P,2:40,3:30,,
0651,1/9/2010,S,3:30,10:00,H,
0651,1/9/2010,P,10:00,11:00,,
0651,1/9/2010,C,11:00,11:40,,
0651,1/9/2010,W,11:40,13:00,,
0651,1/9/2010,B,13:00,15:30,,Off train
0651,1/9/2010,W,15:30,20:30,,
0651,1/9/2010,C,20:30,21:00,,
0651,1/9/2010,P,21:00,0:00,,
0651,1/10/2010,S,0:00,7:00,H,
0651,1/10/2010,P,7:00,7:15,,
0651,1/10/2010,C,7:15,8:00,,
0651,1/10/2010,W,8:00,11:15,,
0651,1/10/2010,B,11:15,12:00,,Off train
0651,1/10/2010,W,12:00,16:44,,
0651,1/10/2010,C,16:44,17:30,,
0651,1/10/2010,P,17:30,23:30,,
0651,1/10/2010,S,23:30,9:30,H,
0651,1/11/2010,P,9:30,23:00,,
0651,1/11/2010,S,23:00,8:30,H,
0651,1/12/2010,P,8:30,16:00,,
0651,1/12/2010,C,16:00,17:21,,
0651,1/12/2010,W,17:21,18:50,,
0651,1/12/2010,B,18:50,19:30,,Off train
0651,1/12/2010,W,19:30,0:40,,
0651,1/13/2010,C,0:40,2:10,,
0651,1/13/2010,P,2:10,4:00,,
0651,1/13/2010,S,4:00,10:30,H,
0651,1/13/2010,P,10:30,15:10,,
0651,1/13/2010,C,15:10,16:40,,
0651,1/13/2010,W,16:40,19:30,,
0651,1/13/2010,B,19:30,20:30,,Off train
0651,1/13/2010,W,20:30,0:41,,
0651,1/14/2010,C,0:41,2:00,,
0651,1/14/2010,P,2:00,3:00,,
0651,1/14/2010,S,3:00,11:30,H,
0651,1/14/2010,P,11:30,14:35,,
0651,1/14/2010,C,14:35,15:47,,
0651,1/14/2010,W,15:47,20:30,,
0651,1/14/2010,B,20:30,22:00,,Off train
0651,1/14/2010,W,22:00,0:12,,
0651,1/15/2010,C,0:12,1:30,,
0651,1/15/2010,P,1:30,3:00,,
0651,1/15/2010,S,3:00,10:30,H,
0651,1/15/2010,P,10:30,14:00,,
0651,1/15/2010,C,14:00,15:25,,
0651,1/15/2010,W,15:25,22:15,,
0651,1/15/2010,C,22:15,23:30,,
0651,1/15/2010,P,23:30,0:00,,
0656,1/11/2010,S,0:00,5:00,H,
0656,1/11/2010,P,5:00,5:20,,
0656,1/11/2010,C,5:20,5:43,,
0656,1/11/2010,W,5:43,7:27,,
0656,1/11/2010,B,7:27,8:00,,Off train
0656,1/11/2010,W,8:00,9:10,,
0656,1/11/2010,B,9:10,10:04,,Train
0656,1/11/2010,W,10:04,11:11,,
